	The accuracy of prediction of my first multi-layer convnet shows its tremendous power:
		step 0, training accuracy 0.12
		step 100, training accuracy 0.76
		step 200, training accuracy 0.86
		step 300, training accuracy 0.96
		step 400, training accuracy 0.96
		step 500, training accuracy 0.98
		step 600, training accuracy 0.98	
		step 700, training accuracy 0.96
		step 800, training accuracy 0.98
		step 900, training accuracy 0.94
		step 1000, training accuracy 0.98
		step 1100, training accuracy 0.98
		step 1200, training accuracy 1
		step 1300, training accuracy 0.96	
		step 1400, training accuracy 1
		step 1500, training accuracy 0.98
		step 1600, training accuracy 0.92
		step 1700, training accuracy 0.96
		step 1800, training accuracy 0.98
		step 1900, training accuracy 0.98
		step 2000, training accuracy 0.98	
		step 2100, training accuracy 0.96
		step 2200, training accuracy 0.98
		step 2300, training accuracy 0.96
		step 2400, training accuracy 0.98	
		step 2500, training accuracy 1
		step 2600, training accuracy 0.98
		step 2700, training accuracy 0.94
		step 2800, training accuracy 0.98
		step 2900, training accuracy 1
		step 3000, training accuracy 0.98
		step 3100, training accuracy 1
		step 3200, training accuracy 0.98
		step 3300, training accuracy 1
		step 3400, training accuracy 0.98
		step 3500, training accuracy 0.94
		step 3600, training accuracy 1
